"Date","Time","Open","High","Low","Close","Volume"
08/28/2014,0951,102.34,102.4,102.22,102.3,310912
08/28/2014,0952,102.3,102.38,102.28,102.38,135121
08/28/2014,0953,102.37,102.53,102.36,102.5,472048
08/28/2014,0954,102.51,102.51,102.38,102.44,208414
08/28/2014,0955,102.44,102.51,102.42,102.5,188761
08/28/2014,0956,102.49,102.54,102.49,102.51,170865
08/28/2014,0957,102.52,102.52,102.47,102.49,129533
08/28/2014,0958,102.48,102.52,102.48,102.51,120896
08/28/2014,0959,102.5,102.52,102.4,102.41,242682
08/28/2014,1000,102.43,102.46,102.4,102.45,119098
08/28/2014,1001,102.46,102.48,102.4,102.42,128878
08/28/2014,1002,102.42,102.47,102.4,102.4,99309
08/28/2014,1003,102.4,102.41,102.36,102.4,209280
08/28/2014,1004,102.4,102.44,102.4,102.43,142562
08/28/2014,1005,102.43,102.45,102.39,102.4,116952
08/28/2014,1006,102.4,102.49,102.4,102.48,234763
08/28/2014,1007,102.48,102.5,102.47,102.49,115920
08/28/2014,1008,102.49,102.49,102.41,102.42,160943
08/28/2014,1009,102.42,102.44,102.37,102.38,96967
08/28/2014,1010,102.38,102.4,102.34,102.35,145960
08/28/2014,1011,102.34,102.36,102.28,102.33,248463
08/28/2014,1012,102.35,102.37,102.33,102.35,120371
08/28/2014,1013,102.35,102.39,102.25,102.27,177018
08/28/2014,1014,102.28,102.28,102.15,102.19,282705
08/28/2014,1015,102.19,102.24,102.17,102.23,169759
08/28/2014,1016,102.24,102.3,102.19,102.28,152938
08/28/2014,1017,102.28,102.3,102.2,102.21,113520
08/28/2014,1018,102.22,102.24,102.2,102.23,107544
08/28/2014,1019,102.23,102.29,102.22,102.23,150181
08/28/2014,1020,102.28,102.28,102.18,102.19,118618
08/28/2014,1021,102.19,102.2,102.16,102.19,124113
08/28/2014,1022,102.19,102.23,102.18,102.22,137430
08/28/2014,1023,102.22,102.3,102.2,102.27,159561
08/28/2014,1024,102.27,102.3,102.25,102.29,123056
08/28/2014,1025,102.29,102.3,102.22,102.23,128559
08/28/2014,1026,102.24,102.24,102.19,102.19,125976
08/28/2014,1027,102.19,102.2,102.06,102.07,374449
08/28/2014,1028,102.07,102.09,102.04,102.07,265723
08/28/2014,1029,102.08,102.1,102.05,102.1,163490
08/28/2014,1030,102.1,102.16,102.09,102.13,107625
08/28/2014,1031,102.14,102.16,102.11,102.16,99196
08/28/2014,1032,102.15,102.18,102.15,102.17,119401
08/28/2014,1033,102.16,102.22,102.15,102.19,131733
08/28/2014,1034,102.19,102.19,102.16,102.17,103507
08/28/2014,1035,102.17,102.21,102.15,102.2,147257
08/28/2014,1036,102.2,102.25,102.2,102.22,95875
08/28/2014,1037,102.22,102.25,102.21,102.24,125870
08/28/2014,1038,102.24,102.26,102.22,102.24,97913
08/28/2014,1039,102.23,102.24,102.19,102.22,74183
08/28/2014,1040,102.22,102.23,102.2,102.23,77790
08/28/2014,1041,102.23,102.23,102.21,102.23,42622
08/28/2014,1042,102.22,102.26,102.22,102.25,93156
08/28/2014,1043,102.26,102.31,102.24,102.24,91834
08/28/2014,1044,102.24,102.3,102.23,102.27,100031
08/28/2014,1045,102.28,102.33,102.27,102.33,121011
08/28/2014,1046,102.33,102.37,102.32,102.37,115097
08/28/2014,1047,102.37,102.37,102.32,102.37,133657
08/28/2014,1048,102.37,102.46,102.36,102.41,247420
08/28/2014,1049,102.41,102.48,102.41,102.47,185855
08/28/2014,1050,102.46,102.49,102.45,102.49,124699
08/28/2014,1051,102.49,102.5,102.43,102.43,251344
08/28/2014,1052,102.44,102.46,102.41,102.43,103624
08/28/2014,1053,102.43,102.47,102.42,102.46,85771
08/28/2014,1054,102.46,102.48,102.43,102.43,153880
08/28/2014,1055,102.43,102.45,102.32,102.34,105503
08/28/2014,1056,102.34,102.34,102.28,102.3,106883
08/28/2014,1057,102.3,102.35,102.29,102.35,80213
08/28/2014,1058,102.34,102.35,102.32,102.34,63013
08/28/2014,1059,102.34,102.38,102.34,102.36,83115
08/28/2014,1100,102.37,102.44,102.37,102.44,133373
08/28/2014,1101,102.44,102.46,102.4,102.44,139692
08/28/2014,1102,102.45,102.45,102.39,102.4,90383
